Prob Thresh: 0.05 | Time:     6 | Score: 70032.0 | Mv/Sec: 528.50 | Pt/Sec: 11672.00 | Max Tile: 12
Prob Thresh: 0.05 | Time:     2 | Score: 26936.0 | Mv/Sec: 693.00 | Pt/Sec: 13468.00 | Max Tile: 11
Prob Thresh: 0.05 | Time:    13 | Score: 155284.0 | Mv/Sec: 489.92 | Pt/Sec: 11944.92 | Max Tile: 13
Prob Thresh: 0.05 | Time:    12 | Score: 147952.0 | Mv/Sec: 501.83 | Pt/Sec: 12329.33 | Max Tile: 13
Prob Thresh: 0.05 | Time:    15 | Score: 176692.0 | Mv/Sec: 494.60 | Pt/Sec: 11779.47 | Max Tile: 13
Prob Thresh: 0.05 | Time:     7 | Score: 75068.0 | Mv/Sec: 497.29 | Pt/Sec: 10724.00 | Max Tile: 12
Prob Thresh: 0.05 | Time:    21 | Score: 270236.0 | Mv/Sec: 488.67 | Pt/Sec: 12868.38 | Max Tile: 14
Prob Thresh: 0.01 | Time:    42 | Score: 342632.0 | Mv/Sec: 308.52 | Pt/Sec: 8157.90 | Max Tile: 14
Prob Thresh: 0.01 | Time:    36 | Score: 295704.0 | Mv/Sec: 313.33 | Pt/Sec: 8214.00 | Max Tile: 14
Prob Thresh: 0.01 | Time:    47 | Score: 378348.0 | Mv/Sec: 307.89 | Pt/Sec: 8049.96 | Max Tile: 14
Prob Thresh: 0.01 | Time:    16 | Score: 130824.0 | Mv/Sec: 344.00 | Pt/Sec: 8176.50 | Max Tile: 13
Prob Thresh: 0.01 | Time:    25 | Score: 220472.0 | Mv/Sec: 322.32 | Pt/Sec: 8818.88 | Max Tile: 14
Prob Thresh: 0.01 | Time:    50 | Score: 378212.0 | Mv/Sec: 288.70 | Pt/Sec: 7564.24 | Max Tile: 14
Prob Thresh: 0.01 | Time:    45 | Score: 357384.0 | Mv/Sec: 300.09 | Pt/Sec: 7941.87 | Max Tile: 14
Prob Thresh: 0.01 | Time:     9 | Score: 77240.0 | Mv/Sec: 396.11 | Pt/Sec: 8582.22 | Max Tile: 12
Prob Thresh: 0.01 | Time:    44 | Score: 342860.0 | Mv/Sec: 295.80 | Pt/Sec: 7792.27 | Max Tile: 14
Prob Thresh: 0.01 | Time:    49 | Score: 376884.0 | Mv/Sec: 293.02 | Pt/Sec: 7691.51 | Max Tile: 14
Prob Thresh: 0.01 | Time:    34 | Score: 278560.0 | Mv/Sec: 311.26 | Pt/Sec: 8192.94 | Max Tile: 14
Prob Thresh: 0.01 | Time:    23 | Score: 177356.0 | Mv/Sec: 324.78 | Pt/Sec: 7711.13 | Max Tile: 13
Prob Thresh: 0.01 | Time:    52 | Score: 387280.0 | Mv/Sec: 286.54 | Pt/Sec: 7447.69 | Max Tile: 14
Prob Thresh: 0.01 | Time:    46 | Score: 366680.0 | Mv/Sec: 302.35 | Pt/Sec: 7971.30 | Max Tile: 14
Prob Thresh: 0.01 | Time:    11 | Score: 101544.0 | Mv/Sec: 368.45 | Pt/Sec: 9231.27 | Max Tile: 13
Prob Thresh: 0.01 | Time:    48 | Score: 376696.0 | Mv/Sec: 299.29 | Pt/Sec: 7847.83 | Max Tile: 14
Prob Thresh: 0.01 | Time:     3 | Score: 21464.0 | Mv/Sec: 420.33 | Pt/Sec: 7154.67 | Max Tile: 10
Prob Thresh: 0.01 | Time:    20 | Score: 164540.0 | Mv/Sec: 339.05 | Pt/Sec: 8227.00 | Max Tile: 13
Prob Thresh: 0.01 | Time:    24 | Score: 177008.0 | Mv/Sec: 310.42 | Pt/Sec: 7375.33 | Max Tile: 13
Prob Thresh: 0.01 | Time:    76 | Score: 620956.0 | Mv/Sec: 287.59 | Pt/Sec: 8170.47 | Max Tile: 15
Prob Thresh: 0.01 | Time:    49 | Score: 378200.0 | Mv/Sec: 294.51 | Pt/Sec: 7718.37 | Max Tile: 14
Prob Thresh: 0.01 | Time:    10 | Score: 80760.0 | Mv/Sec: 375.10 | Pt/Sec: 8076.00 | Max Tile: 12
Prob Thresh: 0.01 | Time:    45 | Score: 366620.0 | Mv/Sec: 309.00 | Pt/Sec: 8147.11 | Max Tile: 14
Prob Thresh: 0.01 | Time:    32 | Score: 290304.0 | Mv/Sec: 349.91 | Pt/Sec: 9072.00 | Max Tile: 14
